key,ca,eu,gl,es,pt,fr,it,en,de
conflicts_auto_report,Automàtic: {ok} aplicats · {fail} sense solució limpia,Automatikoa: {ok} aplikatuta · {fail} soluzio garbirik gabe,Automático: {ok} aplicado · {fail} sen solución limpa,Automático: {ok} aplicados · {fail} sin solución limpia,Automático: {ok} aplicados · {fail} sem solução limpa,Auto : {ok} appliqués · {fail} sans solution propre,Automatico: {ok} applicati · {fail} senza soluzione pulita,Automatic: {ok} applied · {fail} with no clean fix,Automatisch: {ok} angewendet · {fail} ohne saubere Lösung
conflicts_empty,Cap conflicte amb les dades actuals.,Ez dago gatazkarik egungo datuekin.,De momento ningún conflito.,Ningún conflicto con los datos actuales.,Sem conflitos de momento.,Aucun conflit pour le moment.,Nessun conflitto al momento.,No conflicts right now.,Im Moment keine Konflikte.
conflicts_hard_label,greus,serio,Bass,graves,graves,graves,gravi,serious,schwerwiegend
conflicts_horizon_intro,Agrupats per temps que queda (útil per a FECAPA).,Geratzen den denboraren arabera taldekatuta (FECAPArako erabilgarria).,Agrupados por proximidade.,Agrupados por tiempo que queda (útil para FECAPA).,Agrupados por proximidade.,Regroupés par proximité.,Raggruppati per prossimità.,Grouped by how soon they happen.,Nach Zeitpunkt gruppiert.
conflicts_ignored,Conflictes ignorats,Baztertutako gatazkak,Conflitos ignorantes,Conflictos ignorados,Conflictes ignorats,Conflictes ignorats,Conflictes ignorats,Conflictes ignorats,Conflictes ignorats
conflicts_legend_hard,dos partits o entrenaments del mateix club o persona en horaris que es creuen. Cal canviar-ne un.,Klub edo pertsona berarentzat bi partida edo entrenamendu saio programatuta daude gainjarritako orduetan. Bat aldatu egin behar da.,dous partidos ou adestramentos do mesmo club ou persoa en equipos superpostos. Un debe cambiar.,dos partidos o entrenamientos del mismo club o persona en horarios que se cruzan. Hay que cambiar uno.,two matches or trainings from the same club or person at overlapping times. One must change.,two matches or trainings from the same club or person at overlapping times. One must change.,two matches or trainings from the same club or person at overlapping times. One must change.,two matches or trainings from the same club or person at overlapping times. One must change.,two matches or trainings from the same club or person at overlapping times. One must change.
conflicts_legend_hard_short,Greu:,Larria,Duro:,Grave:,Hard:,Hard:,Hard:,Hard:,Hard:
conflicts_legend_horizon,Els horitzons agrupen els conflictes segons el temps que falta: més proper primer.,Horizonteek gatazkak geratzen den denboraren arabera multzokatzen dituzte: hurbilenetik lehenengo (erabilgarria FECAPArako).,Horizontes agrupa os conflitos polo tempo que queda: primeiro máis próximo.,Los horizontes agrupan los conflictos según el tiempo que falta: más cercano primero (útil para FECAPA).,Horizons group conflicts by time remaining: closest first.,Horizons group conflicts by time remaining: closest first.,Horizons group conflicts by time remaining: closest first.,Horizons group conflicts by time remaining: closest first.,Horizons group conflicts by time remaining: closest first.
conflicts_legend_soft,possible solapament o coincidència poc probable. Revisa’l.,Gainjartze posiblea edo kointzidentzia ez-probagarria. Begiratu.,posible solapamento ou improbable coincidencia. comprobalo.,posible solapamiento o coincidencia poco probable. Revísalo.,possible overlap or unlikely coincidence. Check it.,possible overlap or unlikely coincidence. Check it.,possible overlap or unlikely coincidence. Check it.,possible overlap or unlikely coincidence. Check it.,possible overlap or unlikely coincidence. Check it.
conflicts_legend_soft_short,Lleu:,Epela,Suave:,Leve:,Soft:,Soft:,Soft:,Soft:,Soft:
conflicts_legend_title,Com s’entenen els conflictes?,Nola ulertzen dira gatazkak?,Como entender os conflitos?,¿Cómo se entienden los conflictos?,How to understand conflicts?,How to understand conflicts?,How to understand conflicts?,How to understand conflicts?,How to understand conflicts?
conflicts_manual,Modificar a mà,Eskuz aldatu,Modificar a mano,Modificar a mano,Modificar à mão,Modifier à la main,Modifica a mano,Edit manually,Manuell ändern
conflicts_no_results,Cap conflicte coincideix amb la cerca.,Ez dago bilaketarekin bat datorren gatazkarik.,Ningún conflito coincide coa busca.,Ningún conflicto coincide con la búsqueda.,No conflict matches the search.,No conflict matches the search.,No conflict matches the search.,No conflict matches the search.,No conflict matches the search.
conflicts_search_placeholder,"Cerca per data, equip, jugador/a, club...","Bilatu dataren, taldearen, jokalariaren, klubaren... arabera","Búsqueda por data, equipo, xogador, club...","Busca por fecha, equipo, jugador/a, club...","Search by date, team, player, club...","Search by date, team, player, club...","Search by date, team, player, club...","Search by date, team, player, club...","Search by date, team, player, club..."
conflicts_see_alts,Horaris alternatius,Ordutegi alternatiboak,Tempos alternativos,Horarios alternativos,Horários alternativos,Horaires alternatifs,Orari alternativi,Alternative times,Alternative Zeiten
conflicts_soft_label,avisos,Oharrak,Advertencias,avisos,avisos,avertissements,avvisi,warnings,Hinweise
conflicts_subtitle,Conflictes per franja de temps,Ordu-tarteen gatazkak,Conflitos de franxas temporais,Conflictos por franja de tiempo,Conflitos por franja de tempo,Conflits par tranche horaire,Conflitti per fascia oraria,Conflictes per franja de temps,Konflikte nach Zeitfenster
continue,Continuar,Jarraitu,Continuar,Continuar,Continuar,Continuer,Continua,Continuar,Weiter
data_copy_paste_hint,"Copieu el model de sota, enganxeu-lo a Excel/Fulls de càlcul, completeu les vostres dades i torneu-lo a enganxar aquí.","Kopiatu beheko txantiloia, itsatsi Excel/kalkulu-orrietan, bete zure datuak eta itsatsi berriro hemen.","Copie o modelo a continuación, pegalo en Excel/Sheets, encha os seus datos e pegalo de novo aquí.","Copia el modelo de abajo, pégalo en Excel/Hojas de cálculo, completa tus datos y pégalo de nuevo aquí.","Copy the model below, paste it into Excel/Sheets, fill in your data, and paste it back here.","Copy the model below, paste it into Excel/Sheets, fill in your data, and paste it back here.","Copy the model below, paste it into Excel/Sheets, fill in your data, and paste it back here.","Copy the model below, paste it into Excel/Sheets, fill in your data, and paste it back here.","Copy the model below, paste it into Excel/Sheets, fill in your data, and paste it back here."
data_fed_link,Importar partits de federació (RFEP/FECAPA),Inportatu federazio partidak (RFEP/FECAPA),Partidos de importación de federación (RFEP/FECAPA),Importar partidos de federación (RFEP/FECAPA),Importar jogos da federação (RFEP/FECAPA),Importer les matchs de fédération (RFEP/FECAPA),Importa partite federali (RFEP/FECAPA),Import federation games (RFEP/FECAPA),Verbandsspiele importieren (RFEP/FECAPA)
data_file,O pujar fitxer CSV,Edo CSV fitxategi bat igo,O subir archivo CSV,O subir archivo CSV,Ou enviar ficheiro CSV,Ou envoyer un fichier CSV,O carica file CSV,Or upload a CSV file,Oder CSV-Datei hochladen
data_import,Importar,Inportatu,Importar,Importar,Importar,Importer,Importa,Import,Importieren
data_intro,"La forma més ràpida: una plantilla amb equip, persona i rol. També pots enganxar des d'Excel.","Modurik azkarrena: taldea, pertsona eta rola dituen txantiloi bat. Exceletik ere itsatsi dezakezu.","O máis rápido: unha folla de cálculo con equipo, persoa e función. Tamén se pode pegar desde Excel.","Lo más rápido: una plantilla con equipo, persona y rol. También puedes pegar desde Excel.","O mais rápido: uma plantilha com equipa, pessoa e função. Também podes colar do Excel.","Le plus rapide : un tableau équipe, personne et rôle. Vous pouvez aussi coller depuis Excel.","Il modo più veloce: una tabella con squadra, persona e ruolo. Puoi anche incollare da Excel.","Fastest path: a sheet with team, person, and role. You can also paste from Excel.","Am schnellsten: eine Tabelle mit Team, Person und Rolle. Du kannst auch aus Excel einfügen."
data_links,vincles,estekak,bonos,vínculos,vínculos,liens,collegamenti,links,Verknüpfungen
data_more,Importar només equips o només persones,Inportatu ekipamendua bakarrik edo pertsonak bakarrik,Importar só equipos ou só persoas,Importar solo equipos o solo personas,Importar só equipas ou só pessoas,Importer seulement les équipes ou les personnes,Importa solo squadre o solo persone,Import teams only or people only,Nur Teams oder nur Personen importieren
data_paste,Enganxar text,Itsatsi testua,Apegar o texto,Pegar texto,Colar texto,Coller le texte,Incolla testo,Paste text,Text einfügen
data_report,Resultat,Emaitza,Saída,Resultado,Resultado,Résultat,Risultato,Result,Ergebnis
data_roster_heading,Plantilla (recomanat),Txantiloia (gomendatua),Plantilha (recomendado),Plantilla (recomendado),Plantilha (recomendado),Tableau (recommandé),Tabella (consigliato),Roster sheet (recommended),Kaderliste (empfohlen)
data_roster_hint,"Crea equips, persones i vincles d'un sol cop. Separador ; o ,","Eraiki taldeak, pertsonak eta konexioak aldi berean. Bereizlea; edo,","Crea equipos, persoas e lazos á vez. Separador ; ou ,","Crea equipos, personas y vínculos de una vez. Separador ; o ,","Cria equipas, pessoas e vínculos de uma vez. Separador ; ou ,","Crée équipes, personnes et liens en une fois. Séparateur ; ou ,","Crea squadre, persone e collegamenti in un colpo solo. Separatore ; o ,","Creates teams, people, and links in one go. Separator ; or ,","Erstellt Teams, Personen und Verknüpfungen auf einmal. Trenner ; oder ,"
data_roster_placeholder,equipo;persona;rol,taldea; pertsona; rola,equipo;persona;rol,equipo;persona;rol,equipo;persona;rol,equipo;persona;rol,equipo;persona;rol,team;person;role,equipo;persona;rol
data_skipped,omitits,baztertua,omitido,omitidos,omitidos,ignorés,saltati,skipped,übersprungen
data_title,Introduir dades,Sartu datuak,Introducir datos,Introducir datos,Introduzir dados,Saisir les données,Inserire i dati,Enter data,Daten eingeben
fed_ask_more_body,"Si el club juga a més d’una (p. ex. RFEP i FECAPA), importa ara l’altra. Si no, continua amb el següent pas.","Klubak txapelketa bat baino gehiagotan jokatzen badu (adibidez, RFEP eta FECAPA), besteak du garrantzia orain. Bestela, jarraitu hurrengo urratsera.","Se o club xoga en máis dun (por exemplo, RFEP e FECAPA), o outro importa agora. En caso contrario, continúa co seguinte paso.","Si el club juega en más de una (p. ej. RFEP y FECAPA), importa ahora la otra. Si no, sigue al siguiente paso.","Se o clube joga em mais do que uma (p. ex. RFEP e FECAPA), importa a outra agora. Caso contrário, continua para o passo seguinte.","Si le club joue dans plus d'une (p. ex. RFEP et FECAPA), importe l'autre maintenant. Sinon, passe à l'étape suivante.","Se il club gioca in più di una (p. es. RFEP e FECAPA), importa l'altra ora. Altrimenti passa al passaggio successivo.","If the club plays in more than one (e.g. RFEP and FECAPA), import the other now. Otherwise continue to the next step.","Wenn der Verein in mehreren spielt (z. B. RFEP und FECAPA), importiere den anderen jetzt."
fed_ask_more_done,"No, continua","Ez, jarraitu","No, continúe","No, continuar","Não, continuar","Non, continuer","No, continua","No, continue","Nein, weiter"
fed_ask_more_title,Vols importar d’una altra federació?,Beste federazio batetik inportatu nahi duzu?,Importe de outra federao?,¿Quieres importar de otra federación?,Importar de outra federação?,Importer d'une autre fédération ?,Importare da un'altra federazione?,Import from another federation?,Aus einem anderen Verband importieren?
fed_chooser_intro,Tria la federació per cercar els teus equips i carregar-ne el calendari.,Aukeratu federazioa zure taldeak bilatzeko eta egutegia kargatzeko.,Escolla a federación para buscar os seus equipos e cargar o calendario.,Elige la federación para buscar tus equipos y cargar el calendario.,Escolhe a federação para procurar as tuas equipas e carregar o calendário.,Choisissez la fédération pour chercher vos équipes et charger le calendrier.,Scegli la federazione per cercare le tue squadre e caricare il calendario.,Pick a federation to find your teams and load their schedule.,"Wähle den Verband, um Teams zu suchen und den Spielplan zu laden."
fed_fecapa_desc,Competicions catalanes (base i sènior),Kataluniako txapelketak (gazte eta senior),Competicións catalás (base e sénior),Competiciones catalanas (base y sénior),Competições catalãs (base e sénior),Compétitions catalanes (base et senior),Competizioni catalane (base e senior),Catalan competitions (youth and senior),Katalanische Wettbewerbe (Basis und Senior)
fed_import_ok,Importats {n} equips. Continua amb una altra federació si cal.,"{n} ekipamendua inportatuta. Beharrezkoa bada, jarraitu beste federazio batekin.",Equipos {n} importados. Continúa con outra federación se é necesario.,Importados {n} equipos. Continúa con otra federación si hace falta.,Importadas {n} equipas. Continua com outra federação se for necessário.,{n} équipes importées. Continue avec une autre fédération si besoin.,Importate {n} squadre. Continua con un'altra federazione se serve.,Imported {n} teams. Continue with another federation if needed.,"{n} Mannschaften importiert. Fahre mit einem anderen Verband fort, falls nötig."
fed_manual_link,Crear equips manualment,Sortu taldeak eskuz,Crear equips manualment,Crear equipos manualmente,Crear equips manualment,Crear equips manualment,Crear equips manualment,Crear equips manualment,Crear equips manualment
fed_manual_option,O crea els equips manualment,Edo sortu taldeak eskuz.,O crea els equips manualment,O crea los equipos manualmente,O crea els equips manualment,O crea els equips manualment,O crea els equips manualment,O crea els equips manualment,O crea els equips manualment
fed_manual_text,"Si la federació encara no té els equips públics, crea'ls ara i vincula'ls més tard.","Federazioak ez baditu talde publikoak, sortu itzazu orain eta lotu geroago.","Si la federació encara no té els equipsếs, crea 'ls ara i vincula' ls més tard.","Si la federación aún no tiene los equipos públicos, créalos ahora y vincúlalos más tarde.","Si la federació encara no té els equips públics, crea'ls ara i vincula'ls més tard.","Si la federació encara no té els equips públics, crea'ls ara i vincula'ls més tard.","Si la federació encara no té els equips públics, crea'ls ara i vincula'ls més tard.","Si la federació encara no té els equips públics, crea'ls ara i vincula'ls més tard.","Si la federació encara no té els equips públics, crea'ls ara i vincula'ls més tard."
fed_rfep_desc,"Lligues estatals (OK Liga, Iberdrola…)","Estatuko ligak (OK Liga, Iberdrola...)","Ligas estatais (OK Liga, Iberdrola…)","Ligas estatales (OK Liga, Iberdrola…)","Ligas estatais (OK Liga, Iberdrola…)","Ligues nationales (OK Liga, Iberdrola…)","Campionati nazionali (OK Liga, Iberdrola…)","National leagues (OK Liga, Iberdrola…)","Nationale Ligen (OK Liga, Iberdrola…)"
federation_changes_away,Visitant,Bisitaria,Fóra,Visitante,Fora,Extérieur,Trasferta,Visitant,Auswärts
federation_changes_back,← Tornar als partits,← Itzuli partidetara,← Volver a Partidos,← Volver a los partidos,← Voltar aos jogos,← Retour aux matchs,← Torna alle partite,← Tornar als partits,← Zurück zu den Spielen
federation_changes_conflict,conflicte,Gatazka,Conflito,conflicto,conflito,conflit,conflitto,conflicte,Konflikt
federation_changes_conflict_pl,s,s,s,s,s,s,i,s,e
federation_changes_conflicts,Conflictes,Gatazkak,Conflitos,Conflictos,Conflitos,Conflits,Conflitti,Conflictes,Konflikte
federation_changes_empty,No s’ha detectat cap canvi federatiu.,Ez da aldaketa federatiborik antzeman.,Non se detectou ningún cambio da federación.,No se ha detectado ningún cambio federativo.,Não foi detetada nenhuma alteração da federação.,Aucun changement fédératif détecté.,Nessuna modifica federativa rilevata.,No s’ha detectat cap canvi federatiu.,Keine Verbandsänderung erkannt.
federation_changes_home,Local,Tokikoa,Casa,Local,Casa,Domicile,Casa,Local,Heim
federation_changes_intro,Historial de canvis d’horari detectats a RFEP / FECAPA.,RFEP / FECAPA-n detektatutako ordutegi aldaketen historia.,Historial de cambios horarios detectados en RFEP / FECAPA.,Historial de cambios de horario detectados en RFEP / FECAPA.,Histórico de alterações de horário detetadas na RFEP / FECAPA.,Historique des changements d'horaire détectés chez RFEP / FECAPA.,Storico delle modifiche orario rilevate in RFEP / FECAPA.,Historial de canvis d’horari detectats a RFEP / FECAPA.,Verlauf der erkannten Zeitplanänderungen bei RFEP / FECAPA.
federation_changes_locked,Bloquejat,Blokeatuta,Atrancado,Bloqueado,Bloqueado,Bloqué,Bloccato,Bloquejat,Gesperrt
federation_changes_match,Partit,"partida bat jokatzera"".",Xogo,Partido,Jogo,Match,Partita,Partit,Spiel
federation_changes_new,Data/hora nova,Data/ordu berria,Nova data/hora,Fecha/hora nueva,Data/hora nova,Nouvelle date/heure,Nuova data/ora,Data/hora nova,Neues Datum/Uhrzeit
federation_changes_none,Cap,Bat ere ez,Ningún,Ninguno,Nenhum,Aucun,Nessuno,Cap,Keine
federation_changes_old,Data/hora anterior,Aurreko data/ordua,Data/hora anterior,Fecha/hora anterior,Data/hora antecedente,Date/heure antérieure,Data/ora precedente,Data/hora anterior,Altes Datum/Uhrzeit
federation_changes_seen,Vist,Ikusita,Visa,Visto,Visto,Vu,Visto,Vist,Gesehen
federation_changes_source,Font,Iturburua,Fonte,Fuente,Fonte,Source,Fonte,Font,Quelle
federation_changes_status,Estat,Egoera,Estado,Estado,Estado,État,Stato,Estat,Status
federation_changes_summary,{total} canvis · {with_conflicts} amb conflictes · {locked} bloquejats,{total} aldaketak · {with_conflicts} gatazkekin · {locked} blokeatuta,{total} cambios · {with_conflicts} con conflictos · {locked} candado,{total} cambios · {with_conflicts} con conflictos · {locked} bloqueados,{total} changes · {with_conflicts} with conflicts · {locked} locked,{total} changes · {with_conflicts} with conflicts · {locked} locked,{total} changes · {with_conflicts} with conflicts · {locked} locked,{total} changes · {with_conflicts} with conflicts · {locked} locked,{total} changes · {with_conflicts} with conflicts · {locked} locked
federation_changes_title,Canvis federatius,Aldaketa federalak,Federación Mudanzas,Cambios federativos,Alterações da federação,Modifications fédération,Modifiche federazione,Canvis federatius,Verbandsänderungen
forgot_back_login,← Tornar a l’accés,← Sarbidera itzuli,← Volver ao acceso,← Volver al acceso,← Voltar ao acesso,← Retour à la connexion,← Torna all’accesso,← Back to sign-in,← Zurück zur Anmeldung
forgot_done,"Si les dades són correctes, rebràs un correu amb un enllaç per definir una contrasenya nova (caduca en 1 h).","Informazioa zuzena bada, pasahitz berri bat ezartzeko esteka duen mezu elektroniko bat jasoko duzu (ordubete barru iraungitzen da).","Se os datos son correctos, recibirás unha chamada (caduca en 1 h).","Si los datos son correctos, recibirás un correo con un enlace para definir una contraseña nueva (caduca en 1 h).","Se os dados estiverem corretos, receberás uma ligação (expira em 1 h).","Si les données sont correctes, vous recevrez un lien (expire dans 1 h).","Se i dati sono corretti, riceverai un link (scade tra 1 h).","If the details are correct, you’ll get an email with a link to set a new password (expires in 1 h).","Wenn die Daten stimmen, erhältst du einen Link (gültig 1 Std.)."
forgot_done_local,"Si les dades són correctes, s’ha generat l’enllaç. Encara no hi ha correu real configurat: l’enllaç queda a la bandeja local del servidor (data/mail_outbox.jsonl).","Datuak zuzenak badira, esteka sortu da. Ez da oraindik benetako posta elektronikorik konfiguratu: esteka zerbitzariaren tokiko sarrera-ontzian geratzen da (data/mail_outbox.jsonl).","Se os datos son correctos, xerouse a ligazón. O correo electrónico real aínda non está configurado: a ligazón está na caixa local do servidor (data/mail_outbox.jsonl).","Si los datos son correctos, se ha generado el enlace. Aún no hay correo real configurado: el enlace queda en la bandeja local del servidor (data/mail_outbox.jsonl).","Se os dados estiverem corretos, foi gerado o link. O e-mail real ainda não está configurado: o link fica na caixa local do servidor (data/mail_outbox.jsonl).","Si les données sont correctes, le lien a été généré. L'e-mail réel n'est pas encore configuré : le lien est dans la boîte locale du serveur (data/mail_outbox.jsonl).","Se i dati sono corretti, il link è stato generato. L'email reale non è ancora configurata: il link è nella casella locale del server (data/mail_outbox.jsonl).","If the details are correct, the link was generated. Real email is not configured yet: the link is in the server local outbox (data/mail_outbox.jsonl).","Wenn die Daten stimmen, wurde der Link generiert. Echte E-Mail ist noch nicht konfiguriert: Der Link ist im lokalen Postausgang des Servers (data/mail_outbox.jsonl)."
forgot_email,Correu del club,Klubaren posta elektronikoa,Club email,Correo del club,Email do clube,E-mail du club,Email del club,Club email,Club-E-Mail
forgot_heading,Recuperar contrasenya,Pasahitza berreskuratu,Recuperar o contrasinal,Recuperar contraseña,Recuperar palavra-passe,Récupérer le mot de passe,Recupera password,Reset password,Passwort zurücksetzen
forgot_hint,"Introdueix el codi de club i el correu registrat. Si coincideixen, t’enviarem un enllaç.","Sartu zure klubaren kodea eta erregistratutako helbide elektronikoa. Bat badatoz, esteka bat bidaliko dizugu.","Por favor, introduza o seu código do club e correo electrónico rexistrado.","Introduce el código de club y el correo registrado. Si coinciden, te enviaremos un enlace.",Introduz o código do clube e o email registado.,Entrez le code club et l’e-mail enregistré.,Inserisci il codice club e l’email registrata.,"Enter your club code and registered email. If they match, we’ll send a link.",Gib Clubcode und registrierte E-Mail ein.
forgot_submit,Enviar enllaç,Bidali esteka,Enviar ligazón,Enviar enlace,Enviar ligação,Envoyer le lien,Invia link,Send link,Link senden
forgot_title,AtempoSports — Recuperar accés,AtempoSports — Sarbidea berreskuratu,AtempoSports — Recuperar acceso,AtempoSports — Recuperar acceso,AtempoSports — Recuperar acesso,AtempoSports — Récupérer l’accès,AtempoSports — Recupera accesso,AtempoSports — Reset access,AtempoSports — Zugang wiederherstellen
guide_link,Guia ràpida,Gida azkarra,Guía rápida,Guía rápida,Guia rápido,Guide rapide,Guida rapida,Quick guide,Kurzanleitung
guide_title,AtempoSports — Guia ràpida,AtempoSports — Gida azkarra,AtempoSports — Guía rápida,AtempoSports — Guía rápida,AtempoSports — Guia rápido,AtempoSports — Guide rapide,AtempoSports — Guida rapida,AtempoSports — Quick guide,AtempoSports — Kurzanleitung
help_empty,No hi ha resultats,Ez dago emaitzarik,Non hai resultados,No hay resultados,Sem resultados,Aucun résultat,Nessun risultato,No results,Keine Ergebnisse
help_heading,Manual d’ús,Erabiltzaile-gida,Manual de uso,Manual de uso,Manual de utilização,Manuel d'utilisation,Manuale d'uso,User manual,Bedienungsanleitung
help_link,Ajuda,Laguntza,Axuda,Ayuda,Ajuda,Aide,Aiuto,Help,Hilfe
help_related,Ves a la pantalla →,Joan pantailara →,Ir á pantalla →,Ir a la pantalla →,Ir para o ecrã →,Aller à l'écran →,Vai alla schermata →,Go to screen →,Zum Bildschirm →
help_search,Cerca,Bilatu,Buscar,Buscar,Pesquisar,Rechercher,Cerca,Search,Suchen
help_search_placeholder,Busca una pregunta…,Bilatu galdera bat...,Busca unha pregunta...,Busca una pregunta…,Pesquisa uma pergunta...,Rechercher une question…,Cerca una domanda…,Search a question…,Frage suchen…
help_title,AtempoSports — Ajuda,AtempoSports — Laguntza,AtempoSports — Axuda,AtempoSports — Ayuda,AtempoSports — Ajuda,AtempoSports — Aide,AtempoSports — Aiuto,AtempoSports — Help,AtempoSports — Hilfe
home_alts,Horaris alternatius sense conflicte,Gatazkarik gabeko ordutegi alternatiboak,Tempos alternativos,Horarios alternativos sin conflicto,Horários alternativos,Horaires alternatifs,Orari alternativi,Alternative times,Alternativtermine
home_alts_hint,Partits amb opcions de canvi (encara no aplicats),Aldaketa-aukerak dituzten bat etortzeak (oraindik aplikatu gabeak),Sen conflitos · ver conflitos,Partidos con opciones de cambio (aún no aplicados),Sem conflito · ver conflitos,Sans conflit · voir les conflits,Senza conflitto · vedi conflitti,Conflict-free · see conflicts,Ohne Konflikt · Konflikte ansehen
home_away,Visitant,Bisitaria,Fóra,Visitante,Fora,Extérieur,Trasferta,Away,Auswärts
home_calendar_loaded,Calendari carregat,Egutegia kargatu da,Calendario cargado,Calendario cargado,Calendário carregado,Calendrier chargé,Calendario caricato,Calendar loaded,Kalender geladen
home_conflicts,Conflictes detectats,Detektatutako gatazkak,Conflitos detectados,Conflictos detectados,Conflitos detetados,Conflits détectés,Conflitti rilevati,Conflicts found,Erkannte Konflikte
home_conflicts_unique,Conflictes únics,Gatazka bereziak,Conflitos únicos,Conflictos únicos,Conflitos únicos,Conflits uniques,Conflitti unici,Unique conflicts,Einzigartige Konflikte
home_fed_attention,Atenció:,Adi:,Atención,Atención:,Atenção:,Attention :,Attenzione:,Atenció:,Achtung:
home_fed_changes,hi ha {n} canvi d’horari federatiu. El calendari ja els reflecteix.,Federazioaren egutegian {n} aldaketa bat dago. Egutegiak dagoeneko islatzen du hori.,existe {n} cambio de horario de federación. O calendario xa os reflicte.,hay {n} cambio de horario federativo. El calendario ya los refleja.,há {n} alteração de horário da federação. O calendário já as reflete.,il y a {n} changement d'horaire fédératif. Le calendrier les reflète déjà.,c'è {n} modifica orario federativa. Il calendario le riflette già.,hi ha {n} canvi d’horari federatiu. El calendari ja els reflecteix.,Es gibt {n} Verbandszeitplan-Änderung. Der Kalender spiegelt sie bereits wider.
home_fed_changes_pl,hi ha {n} canvis d’horari federatiu. El calendari ja els reflecteix.,Federazioaren egutegian {n} aldaketak daude. Egutegiak dagoeneko islatzen ditu.,hai {n} cambios de hora da federación. O calendario xa os reflicte.,hay {n} cambios de horario federativo. El calendario ya los refleja.,há {n} alterações de horário da federação. O calendário já as reflete.,il y a {n} changements d'horaire fédératif. Le calendrier les reflète déjà.,ci sono {n} modifiche orario federative. Il calendario le riflette già.,hi ha {n} canvis d’horari federatiu. El calendari ja els reflecteix.,Es gibt {n} Verbandszeitplan-Änderungen. Der Kalender spiegelt sie bereits wider.
home_fed_conflicts,Alguns generen conflictes.,Batzuek gatazkak sortzen dituzte.,Algúns xeran conflitos.,Algunos generan conflictos.,Algumas geram conflitos.,Certains génèrent des conflits.,Alcune generano conflitti.,Alguns generen conflictes.,Einige erzeugen Konflikte.
home_fed_view,Veure canvis →,Ikusi aldaketak →,Vexa os cambios →,Ver cambios →,Ver alterações →,Voir les changements →,Vedi modifiche →,Veure canvis →,Änderungen anzeigen →
home_hard,Conflictes greus,Gatazka larriak,Conflitos graves,Conflictos graves,Conflitos graves,Conflits graves,Conflitti gravi,Serious conflicts,Schwere Konflikte
home_local,Local,Tokikoa,Casa,Local,Casa,Domicile,Casa,Home,Heim
home_matches,Partits,Partiduak,Partida,Partidos,Jogos,Matchs,Partite,Games,Spiele
home_no_matches,Encara no hi ha partits en aquesta temporada.,Ez dago partidarik denboraldi honetan oraindik.,Esta temporada aínda non hai partidos.,Aún no hay partidos en esta temporada.,Ainda não há jogos nesta época.,Aucun match dans cette saison pour le moment.,Non ci sono ancora partite in questa stagione.,No games in this season yet.,In dieser Saison gibt es noch keine Spiele.
home_no_season,Sense temporada activa,Ez dago denboraldi aktiborik,Sen tempada activa,Sin temporada activa,Sem época ativa,Aucune saison active,Nessuna stagione attiva,No active season,Keine aktive Saison
home_no_season_hint,Crea o activa una temporada a Temporada.,Sortu edo aktibatu denboraldi bat Denboraldian.,Crea ou activa unha época en Época.,Crea o activa una temporada en Temporada.,Cria ou ativa uma época em Época.,Créez ou activez une saison dans Saison.,Crea o attiva una stagione in Stagione.,Create or activate a season under Season.,Erstelle oder aktiviere eine Saison unter Saison.
home_occurrences,ocurrències,gertakariak,Acesos,ocurrencias,ocorrências,occurrences,occorrenze,occurrences,Vorkommnisse
home_quick_actions,Accions ràpides,Ekintza azkarra,Accións rápidas,Acciones rápidas,Quick actions,Quick actions,Quick actions,Quick actions,Quick actions
home_season,Temporada,Denboraldia,Época,Temporada,Época,Saison,Stagione,Season,Saison
home_seasons,Temporades,Partekatze- tasa:,Tempadas,Temporadas,Épocas,Saisons,Stagioni,Seasons,Saisons
home_see_all,Veure'ls tots,Ikusi guztiak,Ver todos,Ver todos,Ver todos,Voir tout,Vedi tutti,See all,Alle anzeigen
home_setup_check,Revisar configuració,Berrikusi ezarpenak,Comprobar a configuración,Revisar configuración,Check setup,Check setup,Check setup,Check setup,Check setup
home_soft,Avisos,Oharrak,Advertencias,Avisos,Avisos,Alertes,Avvisi,Warnings,Hinweise
home_soft_hint,Conflictes lleus,Gatazka txikiak,Conflitos leves,Conflictos leves,Conflitos suaves,Conflits légers,Conflitti lievi,Soft conflicts,Weiche Konflikte
home_unique,únics,bakarra,Sós,únicos,únicos,uniques,unici,unique,einzigartig
horizon_later,Més endavant,Geroago,Máis tarde,Más adelante,Mais tarde,Plus tard,Più tardi,Later,Später
horizon_m1,Proper mes,Hurrengo hilabetean,Este mes,Próximo mes,Este mês,Ce mois,Questo mese,This month,Dieser Monat
horizon_m2,Següent mes,& Hurrengo hilabetea,O próximo mes,Mes siguiente,Próximo mês,Mois prochain,Prossimo mese,Next month,Nächster Monat
horizon_m3,D'aquí a 2 mesos,2 hilabete,A 2 mois de désormais,En 2 meses,Daqui a 2 meses,Dans 2 mois,Tra 2 mesi,In 2 months,In 2 Monaten
horizon_undated,Sense data,Datarik ez,Data da operación,Sin fecha,Sem data,Pas de date,Senza data,No date,Kein Datum
import_alias_heading,1. Àlies d'equip,1. Taldeko Aliasa,1. alias de equipo,1. Alias de equipo,1. Aliases de equipa,1. Alias d'équipe,1. Alias squadra,1. Àlies d'equip,1. Team-Aliasse
